"method","abs_diff"
"equi",0.0191456739507174
"equi",0.124544407149971
"equi",0.0173193849901497
"equi",0.12264795954287
"equi",0.087526843966526
"equi",0.0270032054021037
"equi",0.071849309411245
"equi",0.171983794323375
"equi",0.0447192051949629
"equi",0.00738653200282868
"equi",0.113511696639166
"equi",0.00866596773727451
"equi",0.204999490497604
"equi",0.0932943446967213
"equi",0.180551109307587
"equi",0.0366462542126735
"equi",0.187786580628577
"equi",0.148556448808866
"equi",0.00575874102217949
"equi",0.0243322050528325
"equi",0.0654517171680088
"equi",0.129705176560465
"equi",0.00624024894723023
"equi",0.047131894754884
"equi",0.0383674749279795
"equi",0.122738241959528
"equi",0.00239560967099317
"equi",0.0434688959372802
"equi",0.112209258015705
"equi",0.13817102738762
"equi",0.053866897631257
"equi",0.104187693323504
"equi",0.0522295903276316
"equi",0.118466306667186
"equi",0.0637341781537875
"equi",0.0528547613452988
"equi",0.0166000570560166
"equi",0.136837910945127
"equi",0.0499995500749567
"equi",0.0615161998742809
"equi",0.156120442894093
"equi",0.0479907398383364
"equi",0.126889110424869
"equi",0.03331221807023
"equi",0.0857775543380341
"equi",0.0817904978675079
"equi",0.00496225447880847
"equi",0.0311876814598226
"equi",0.112145109153795
"equi",0.1899573095194
"equi",0.0795285655519013
"equi",0.0533464027198628
"equi",0.024477011083216
"equi",0.133996270352306
"equi",0.121059544384989
"equi",0.0956583842564899
"equi",0.0948112454335528
"equi",0.050939462268885
"equi",0.150799661172798
"equi",0.0495695013110586
"equi",0.185556220313157
"equi",0.0687753173618278
"equi",0.0646749088231381
"equi",0.172663783853091
"equi",0.146177217255128
"equi",0.08658381483134
"equi",0.0929860162034862
"equi",0.0725231999135282
"equi",0.092174539442928
"equi",0.173651600523609
"equi",0.0137170942580892
"equi",0.0525806680118274
"equi",0.062087442521094
"equi",0.0297448748630203
"equi",0.0206539556510092
"equi",0.00985429929279702
"equi",0.208977999346047
"equi",0.127031301282168
"equi",0.0890142036304319
"equi",0.000964272096077357
"equi",0.0143323734138945
"equi",0.00662623617859701
"equi",0.338916033752037
"equi",0.0247611006103892
"equi",0.0509372330952868
"equi",0.121007589296102
"equi",0.0908729284201071
"equi",0.00711091890997609
"equi",0.140755087032644
"equi",0.0276055263977995
"equi",0.192398769488776
"equi",0.142830409383439
"equi",0.0976137380487639
"equi",0.0451087571197107
"equi",0.0900710316523901
"equi",0.00549833031613348
"equi",0.022055014016081
"equi",0.0801609505384006
"equi",0.103235231555746
"equi",0.0216014868302985
"equi",0.133264790650863
"equi",0.00552713202020924
"equi",0.155335214319033
"equi",0.122875602811157
"equi",0.00408835298550447
"equi",0.0306233723149553
"equi",0.0826346294184903
"equi",0.123126919201693
"equi",0.0630986905452743
"equi",0.0556807078582862
"equi",0.0295212067318725
"equi",0.0203581361172608
"equi",0.0529393219082784
"equi",0.0817391777307234
"equi",0.0136229459280109
"equi",0.104433408503831
"equi",0.0266664444829874
"equi",0.104030092372416
"equi",0.100715262572997
"equi",0.0184680985331346
"equi",0.119676037504575
"equi",0.0116512979541704
"equi",0.182560919704086
"equi",0.0904262870253009
"equi",0.121410640552418
"equi",0.0899450298051334
"equi",0.0390926505829937
"equi",0.0404966492350462
"equi",0.125724017144018
"equi",0.140525319015933
"equi",0.108980900175212
"equi",0.155169592583647
"equi",0.0364250827078673
"equi",0.0596261424421956
"equi",0.0668746769701013
"equi",0.0402637663604161
"equi",0.0827815672202541
"equi",0.0295847309356567
"equi",0.00520738495281087
"equi",0.0120258936623499
"equi",0.0283600249150747
"equi",0.0208584526942728
"equi",0.0795080189419571
"equi",0.0296881243111616
"equi",0.103518651779318
"equi",0.00141056095488248
"equi",0.046526068784921
"equi",0.00792476446599755
"equi",0.0150517542095409
"equi",0.0526396207691289
"equi",0.00187236835815965
"equi",0.115758222975867
"equi",0.0656715158785765
"equi",0.0399037419005241
"equi",0.0199598889450917
"equi",0.0379104133778739
"equi",0.0175802387857902
"equi",0.106987226285371
"equi",0.030856498664855
"equi",0.148696095383265
"equi",0.045311472684963
"equi",0.0151200224371266
"equi",0.101071960283283
"equi",0.00161539718387246
"equi",0.00294159205074312
"equi",0.163593455808516
"equi",0.00792306487437761
"equi",0.0519641953267704
"equi",0.11805920245005
"equi",0.129831435430558
"equi",0.0194330336312946
"equi",0.323126287646031
"equi",0.00802074231028862
"equi",0.185029470111703
"equi",0.21545691938792
"equi",0.0366642790757458
"equi",0.0058368743617736
"equi",0.034462690094235
"equi",0.0824966716991608
"equi",0.00751045986666379
"equi",0.0382318761724624
"equi",0.0931350391248685
"equi",0.0731861145212937
"equi",0.0206829913551642
"equi",0.0509491883322241
"equi",0.0427852326110428
"equi",0.0476572962779933
"equi",0.0415877076605021
"equi",0.0784080419971692
"equi",0.0248118589281614
"equi",0.000484948376022809
"equi",0.00969986934445204
"equi",0.0633233202962557
"equi",0.100081470052581
"equi",0.0459926067996941
"equi",0.016499331633394
"equi",0.0756980251071073
"equi",0.0449844414661562
"equi",0.0943106522859087
"equi",0.0433279247759306
"equi",0.0480154883107218
"equi",0.115247448186327
"equi",0.0619190792413801
"equi",0.039905304420529
"equi",0.00970561094021019
"equi",0.248086014416293
"equi",0.0673393712310382
"equi",0.0190951985337618
"equi",0.0717443894129013
"equi",0.0640271953825158
"equi",0.0409218557678982
"equi",0.0469479109138065
"equi",0.065202071841121
"equi",0.040993424149614
"equi",0.0293136739974764
"equi",0.164505095534257
"equi",0.0611799757871641
"equi",0.154879461104592
"equi",0.074523068589381
"equi",0.00226155512328369
"equi",0.0276396750127521
"equi",0.0284470788663387
"equi",0.0655341518178111
"equi",0.107615658966474
"equi",0.0632855588342351
"equi",0.03626426287534
"equi",0.0760948803923377
"equi",0.054781166988522
"equi",0.0513537169195535
"equi",0.039498199629377
"equi",0.00240347914411992
"equi",0.0988591814944796
"equi",0.0711303356209503
"equi",0.0145202746580139
"equi",0.0662022309399673
"equi",0.0204357191433065
"equi",0.0172253576056227
"equi",0.0454277890594328
"equi",0.085555552499094
"equi",0.0215681336841356
"equi",0.0619730765393434
"equi",0.0692458206335441
